"adresse";"lat";"lon";"betalt"
"Stationsvej 12, 6823 Ansager";"55,70604931";"8,75001659";"0"
"Lærkevænget 1, Skovlund, 6823 Ansager";"55,74907738";"8,6972968";"0"
"Torvet 11, 6823 Ansager";"55,70505215";"8,75283319";"0"
"Fiskerivej 5, 6823 Ansager";"55,70198642";"8,763139";"0"
"Søbredden 5, 6823 Ansager";"55,72594332";"8,77664724";"0"
"Hejrevej 13, 6823 Ansager";"55,70108966";"8,76317656";"0"
"Egelunden 5, 6823 Ansager";"55,7249249";"8,77916152";"0"
"Hejrevej 3C, 6823 Ansager";"55,70185654";"8,76430524";"0"
"Hejrevej 7C, 6823 Ansager";"55,70142064";"8,76418937";"0"
"Ulknudvej 2, Morsbøl, 6823 Ansager";"55,73674749";"8,82321288";"0"
"Ulknudvej 6, Morsbøl, 6823 Ansager";"55,73752603";"8,82181661";"0"
"Ulknudvej 10, Morsbøl, 6823 Ansager";"55,73790832";"8,82061466";"0"
"Ulknudvej 14, Morsbøl, 6823 Ansager";"55,73919096";"8,8174919";"0"
"Ulknudvej 18, Morsbøl, 6823 Ansager";"55,74179592";"8,81073522";"0"
"Ulknudvej 19, Morsbøl, 6823 Ansager";"55,74485466";"8,80337819";"0"
"Ulknudvej 25, Morsbøl, 6823 Ansager";"55,74638812";"8,80457206";"0"
"Sønderbro 38, Haltrup, 6823 Ansager";"55,67444669";"8,74008359";"0"
"Sønderbro 40, Haltrup, 6823 Ansager";"55,67077109";"8,73441131";"0"
"Sønderbro 41, Haltrup, 6823 Ansager";"55,67665629";"8,74188294";"0"
"Sønderbro 42, Haltrup, 6823 Ansager";"55,6699698";"8,73739315";"0"
"Sønderbro 43, Haltrup, 6823 Ansager";"55,67540117";"8,74133614";"0"
"Sønderbro 45, Haltrup, 6823 Ansager";"55,66998016";"8,74425689";"0"
"Adelvej 1, Skovlund, 6823 Ansager";"55,75090983";"8,68724246";"0"
"Adelvej 2, Skovlund, 6823 Ansager";"55,74808019";"8,69237912";"0"
"Adelvej 3, Skovlund, 6823 Ansager";"55,750241";"8,69382032";"0"
"Adelvej 4, Skovlund, 6823 Ansager";"55,74970586";"8,69995547";"0"
"Adelvej 5, Skovlund, 6823 Ansager";"55,75054462";"8,69592281";"0"
"Adelvej 6, Skovlund, 6823 Ansager";"55,7484633";"8,70281086";"0"
"Adelvej 7, Skovlund, 6823 Ansager";"55,75358082";"8,69649014";"0"
"Adelvej 8, Skovlund, 6823 Ansager";"55,75073327";"8,70843912";"0"
"Adelvej 9, Skovlund, 6823 Ansager";"55,7519521";"8,71104831";"0"
"Adelvej 10, Skovlund, 6823 Ansager";"55,74907867";"8,7209652";"0"
"Adelvej 12, Skovlund, 6823 Ansager";"55,74937227";"8,72460829";"0"
"Adelvej 13, Skovlund, 6823 Ansager";"55,75426327";"8,71701743";"0"
"Adelvej 14, Skovlund, 6823 Ansager";"55,75255301";"8,73197386";"0"
"Adelvej 15, Skovlund, 6823 Ansager";"55,75296338";"8,72048069";"0"
"Adelvej 16, Skovlund, 6823 Ansager";"55,75352258";"8,73627733";"0"
"Adelvej 17, Skovlund, 6823 Ansager";"55,75498285";"8,72450694";"0"
"Adelvej 18, Skovlund, 6823 Ansager";"55,75421429";"8,74290016";"0"
"Adelvej 19, Skovlund, 6823 Ansager";"55,75732434";"8,73268463";"0"
"Adelvej 21, Skovlund, 6823 Ansager";"55,75786838";"8,73924226";"0"
"Adelvej 23, Skovlund, 6823 Ansager";"55,75923052";"8,73678093";"0"
"Adelvej 25, Skovlund, 6823 Ansager";"55,75673801";"8,74480201";"0"
"Adelvej 27, Skovlund, 6823 Ansager";"55,75643452";"8,74728422";"0"
"Åhavevej 1, 6823 Ansager";"55,70450661";"8,74821143";"0"
"Åhavevej 2, 6823 Ansager";"55,70488198";"8,74797446";"0"
"Åhavevej 3, 6823 Ansager";"55,70460615";"8,74798642";"0"
"Åhavevej 5, 6823 Ansager";"55,70470498";"8,74776252";"0"
"Åhavevej 6, 6823 Ansager";"55,70612989";"8,74606175";"0"
"Åhavevej 7, 6823 Ansager";"55,70480569";"8,74753464";"0"
"Åhavevej 9, 6823 Ansager";"55,70489932";"8,74731985";"0"
"Åhavevej 11, 6823 Ansager";"55,70499885";"8,74712984";"0"
"Åhavevej 13, 6823 Ansager";"55,70511495";"8,74695978";"0"
"Åhavevej 15, 6823 Ansager";"55,70523131";"8,74678541";"0"
"Åhavevej 17, 6823 Ansager";"55,70534714";"8,74661296";"0"
"Åhavevej 19, 6823 Ansager";"55,70546233";"8,7464402";"0"
"Åhavevej 21, 6823 Ansager";"55,70557951";"8,74626917";"0"
"Åhavevej 23, 6823 Ansager";"55,70569361";"8,7460902";"0"
"Åhavevej 27, 6823 Ansager";"55,70708864";"8,74571927";"0"
"Ålling Søvej 1, Skovlund, 6823 Ansager";"55,7644853";"8,74100299";"0"
"Ålling Søvej 4, Skovlund, 6823 Ansager";"55,76411668";"8,74368505";"0"
"Ållingvej 1, Skovlund, 6823 Ansager";"55,74737592";"8,75504667";"0"
"Ållingvej 2, Skovlund, 6823 Ansager";"55,74420595";"8,75061376";"0"
"Ållingvej 3, Skovlund, 6823 Ansager";"55,74392107";"8,75201301";"0"
"Ållingvej 4, Skovlund, 6823 Ansager";"55,73321242";"8,74512208";"0"
"Ållingvej 5, Skovlund, 6823 Ansager";"55,74327183";"8,75488823";"0"
"Ållingvej 7, Skovlund, 6823 Ansager";"55,7326807";"8,74735716";"0"
"Ållingvej 9, Skovlund, 6823 Ansager";"55,73300586";"8,7457381";"0"
"Ållingvej 11, Skovlund, 6823 Ansager";"55,73201759";"8,74414751";"0"
"Ållingvej 13, Skovlund, 6823 Ansager";"55,73078149";"8,74450225";"0"
"Åparken 2, 6823 Ansager";"55,7031313";"8,75932699";"0"
"Åparken 3, 6823 Ansager";"55,70263339";"8,75972674";"0"
"Åparken 4, 6823 Ansager";"55,70290762";"8,75930847";"0"
"Åparken 5, 6823 Ansager";"55,70254583";"8,76006938";"0"
"Åparken 6, 6823 Ansager";"55,70271722";"8,75912602";"0"
"Åparken 7, 6823 Ansager";"55,70249016";"8,76046195";"0"
"Åparken 8, 6823 Ansager";"55,70249239";"8,75902748";"0"
